Geography,Period,VariableName,VariableValue,Product,Campaign,Outlet,Creative
geo_0,2024-10-14,Sales,10776.406918082785,,,,
geo_0,2024-10-21,Sales,10526.702848948518,,,,
geo_0,2024-10-28,Sales,10515.269731148941,,,,
geo_0,2024-11-04,Sales,10503.68951184202,,,,
geo_0,2024-11-11,Sales,10885.1899304466,,,,
geo_0,2024-11-18,Sales,11083.313238578032,,,,
geo_0,2024-11-25,Sales,10631.08893348178,,,,
geo_0,2024-12-02,Sales,10619.266516852842,,,,
geo_0,2024-12-09,Sales,10644.975791497762,,,,
geo_0,2024-12-16,Sales,10850.579250925959,,,,
geo_0,2024-12-23,Sales,10971.624623784146,,,,
geo_1,2022-01-03,Sales,10353.363726017044,,,,
geo_1,2022-01-10,Sales,10435.58041977795,,,,
geo_1,2022-01-17,Sales,10579.3558199288,,,,
geo_1,2022-01-24,Sales,10682.046968843126,,,,
geo_1,2022-01-31,Sales,10397.018016051883,,,,
geo_1,2022-02-07,Sales,10603.413299997108,,,,
geo_1,2022-02-14,Sales,10789.02778275387,,,,
geo_1,2022-02-21,Sales,10805.946821887837,,,,
geo_1,2022-02-28,Sales,10518.824341592386,,,,
geo_1,2022-03-07,Sales,10684.43997335921,,,,
geo_1,2022-03-14,Sales,10839.51000258299,,,,
geo_1,2022-03-21,Sales,10833.06585361562,,,,
geo_1,2022-03-28,Sales,10775.787004627115,,,,
geo_1,2022-04-04,Sales,11127.26996007656,,,,
geo_1,2022-04-11,Sales,10786.578254334834,,,,
geo_1,2022-04-18,Sales,10748.337515510551,,,,
geo_1,2022-04-25,Sales,10769.881438455584,,,,
geo_1,2022-05-02,Sales,10596.710288494894,,,,
geo_1,2022-05-09,Sales,10835.956869825763,,,,
geo_1,2022-05-16,Sales,10765.333355080764,,,,
geo_1,2022-05-23,Sales,10548.89665993466,,,,
geo_1,2022-05-30,Sales,10655.624630408402,,,,
geo_1,2022-06-06,Sales,10841.939156269014,,,,
geo_1,2022-06-13,Sales,10539.782968794416,,,,
geo_1,2022-06-20,Sales,10821.811012651118,,,,
geo_1,2022-06-27,Sales,10632.587325847408,,,,
geo_1,2022-07-04,Sales,10593.479803503089,,,,
geo_1,2022-07-11,Sales,10636.55025042215,,,,
geo_1,2022-07-18,Sales,10555.061350295999,,,,
geo_1,2022-07-25,Sales,10504.720562053431,,,,
geo_1,2022-08-01,Sales,10500.963009600948,,,,
geo_1,2022-08-08,Sales,10335.17411812939,,,,
geo_1,2022-08-15,Sales,10342.38343828165,,,,
geo_1,2022-08-22,Sales,10337.126007226992,,,,
geo_1,2022-08-29,Sales,10661.928617800128,,,,
geo_1,2022-09-05,Sales,10573.067657401403,,,,
geo_1,2022-09-12,Sales,10577.465463487337,,,,
geo_1,2022-09-19,Sales,10351.91987596998,,,,
geo_1,2022-09-26,Sales,10240.899695865499,,,,
geo_1,2022-10-03,Sales,10290.872183569825,,,,
geo_1,2022-10-10,Sales,10449.2522837689,,,,
geo_1,2022-10-17,Sales,10549.013045930009,,,,
geo_1,2022-10-24,Sales,10469.630919240979,,,,
geo_1,2022-10-31,Sales,10521.844049239815,,,,
geo_1,2022-11-07,Sales,10594.223091150076,,,,
geo_1,2022-11-14,Sales,10527.379871667403,,,,
geo_1,2022-11-21,Sales,10553.24583676346,,,,
geo_1,2022-11-28,Sales,10544.186890909994,,,,
geo_1,2022-12-05,Sales,10546.1184211565,,,,
geo_1,2022-12-12,Sales,10493.15381933045,,,,
geo_1,2022-12-19,Sales,10870.614923048168,,,,
geo_1,2022-12-26,Sales,10683.80857385373,,,,
geo_1,2023-01-02,Sales,10765.156301413846,,,,
geo_1,2023-01-09,Sales,10882.417098987235,,,,
geo_1,2023-01-16,Sales,10814.579895961755,,,,
geo_1,2023-01-23,Sales,10717.943634549343,,,,
geo_1,2023-01-30,Sales,10635.197091634385,,,,
geo_1,2023-02-06,Sales,10775.68236322143,,,,
geo_1,2023-02-13,Sales,11119.456370531398,,,,
geo_1,2023-02-20,Sales,10699.005930562811,,,,
geo_1,2023-02-27,Sales,10681.149825942963,,,,
geo_1,2023-03-06,Sales,10694.535000600978,,,,
geo_1,2023-03-13,Sales,10580.179593848734,,,,
geo_1,2023-03-20,Sales,10690.679758347378,,,,
geo_1,2023-03-27,Sales,10848.064384108295,,,,
geo_1,2023-04-03,Sales,10519.26148686798,,,,
geo_1,2023-04-10,Sales,10837.563170606463,,,,
geo_1,2023-04-17,Sales,11053.218743988828,,,,
geo_1,2023-04-24,Sales,10843.094729658722,,,,
geo_1,2023-05-01,Sales,10953.628728653965,,,,
geo_1,2023-05-08,Sales,11033.015644015652,,,,
geo_1,2023-05-15,Sales,10880.259922752139,,,,
geo_1,2023-05-22,Sales,10984.299819830849,,,,
geo_1,2023-05-29,Sales,10743.120609913543,,,,
geo_1,2023-06-05,Sales,10702.464233185863,,,,
geo_1,2023-06-12,Sales,11058.981534114906,,,,
geo_1,2023-06-19,Sales,10674.790359817061,,,,
geo_1,2023-06-26,Sales,10537.209738621712,,,,
geo_1,2023-07-03,Sales,10763.894146046787,,,,
geo_1,2023-07-10,Sales,10717.861683852228,,,,
geo_1,2023-07-17,Sales,10631.902124925204,,,,
geo_1,2023-07-24,Sales,10466.474477000214,,,,
geo_1,2023-07-31,Sales,10430.830812015169,,,,
geo_1,2023-08-07,Sales,10364.201086417872,,,,
geo_1,2023-08-14,Sales,10729.100452164006,,,,
geo_1,2023-08-21,Sales,10775.286534383124,,,,
geo_1,2023-08-28,Sales,10582.984410220244,,,,
geo_1,2023-09-04,Sales,10599.461828355936,,,,
geo_1,2023-09-11,Sales,10511.98068045138,,,,
geo_1,2023-09-18,Sales,10470.058350270629,,,,
geo_1,2023-09-25,Sales,10548.237300102433,,,,
geo_1,2023-10-02,Sales,10466.987238092443,,,,
geo_1,2023-10-09,Sales,10404.402917841391,,,,
geo_1,2023-10-16,Sales,10625.947082680083,,,,
geo_1,2023-10-23,Sales,10399.879965813358,,,,
geo_1,2023-10-30,Sales,10766.270984226447,,,,
geo_1,2023-11-06,Sales,10516.724321030033,,,,
geo_1,2023-11-13,Sales,10503.235924788245,,,,
geo_1,2023-11-20,Sales,10562.105325322793,,,,
geo_1,2023-11-27,Sales,10691.05826653351,,,,
geo_1,2023-12-04,Sales,10631.40449649691,,,,
geo_1,2023-12-11,Sales,10540.767370573776,,,,
geo_1,2023-12-18,Sales,10613.18286654508,,,,
geo_1,2023-12-25,Sales,10605.262445405891,,,,
geo_1,2024-01-01,Sales,10976.083556464175,,,,
geo_1,2024-01-08,Sales,10841.994261501379,,,,
geo_1,2024-01-15,Sales,10953.28756928172,,,,
geo_1,2024-01-22,Sales,10906.367074115533,,,,
geo_1,2024-01-29,Sales,11034.257853162897,,,,
geo_1,2024-02-05,Sales,10729.569430377494,,,,
geo_1,2024-02-12,Sales,10892.510924138965,,,,
geo_1,2024-02-19,Sales,11024.872873149625,,,,
geo_1,2024-02-26,Sales,10891.297147864881,,,,
geo_1,2024-03-04,Sales,11072.582635554656,,,,
geo_1,2024-03-11,Sales,11082.039235836215,,,,
geo_1,2024-03-18,Sales,10909.865229512507,,,,
geo_1,2024-03-25,Sales,11004.451456435036,,,,
geo_1,2024-04-01,Sales,10773.80777121571,,,,
geo_1,2024-04-08,Sales,10701.245310367845,,,,
geo_1,2024-04-15,Sales,10949.62362828116,,,,
geo_1,2024-04-22,Sales,10916.749538621056,,,,
geo_1,2024-04-29,Sales,11013.094671820792,,,,
geo_1,2024-05-06,Sales,10896.317922683396,,,,
geo_1,2024-05-13,Sales,10963.897665789404,,,,
geo_1,2024-05-20,Sales,10934.014749350623,,,,
geo_1,2024-05-27,Sales,10985.940941445419,,,,
geo_1,2024-06-03,Sales,11000.320818840544,,,,
geo_1,2024-06-10,Sales,11003.296900020645,,,,
geo_1,2024-06-17,Sales,10835.696934687718,,,,
geo_1,2024-06-24,Sales,10782.573860203409,,,,
geo_1,2024-07-01,Sales,10925.686833424337,,,,
geo_1,2024-07-08,Sales,10973.163946768067,,,,
geo_1,2024-07-15,Sales,10973.995927405887,,,,
geo_1,2024-07-22,Sales,11081.84386447543,,,,
geo_1,2024-07-29,Sales,10852.982591970354,,,,
geo_1,2024-08-05,Sales,10872.197060814397,,,,
geo_1,2024-08-12,Sales,10748.939107401438,,,,
geo_1,2024-08-19,Sales,10770.022666782606,,,,
geo_1,2024-08-26,Sales,10509.860216884308,,,,
geo_1,2024-09-02,Sales,10506.324767464248,,,,
geo_1,2024-09-09,Sales,10512.772036163313,,,,
geo_1,2024-09-16,Sales,10444.009061356728,,,,
geo_1,2024-09-23,Sales,10608.89234129618,,,,
geo_1,2024-09-30,Sales,10565.168379509201,,,,
geo_1,2024-10-07,Sales,10665.193790742327,,,,
geo_1,2024-10-14,Sales,10617.174268459074,,,,
geo_1,2024-10-21,Sales,10375.028466026537,,,,
geo_1,2024-10-28,Sales,10582.107843365206,,,,
geo_1,2024-11-04,Sales,10638.741475839814,,,,
geo_1,2024-11-11,Sales,10961.761613097487,,,,
geo_1,2024-11-18,Sales,10842.050278993658,,,,
geo_1,2024-11-25,Sales,10653.06442057763,,,,
geo_1,2024-12-02,Sales,10604.552700600148,,,,
geo_1,2024-12-09,Sales,10745.409115292903,,,,
geo_1,2024-12-16,Sales,10714.435418066812,,,,
geo_1,2024-12-23,Sales,10750.07352441206,,,,
geo_2,2022-01-03,Sales,10251.933814222532,,,,
geo_2,2022-01-10,Sales,10434.710711495854,,,,
geo_2,2022-01-17,Sales,10545.58865962084,,,,
geo_2,2022-01-24,Sales,10647.686393652995,,,,
geo_2,2022-01-31,Sales,10523.42044834724,,,,
geo_2,2022-02-07,Sales,10581.195844127613,,,,
geo_2,2022-02-14,Sales,10913.120032603767,,,,
geo_2,2022-02-21,Sales,10678.18892848393,,,,
geo_2,2022-02-28,Sales,10642.726925339382,,,,
geo_2,2022-03-07,Sales,10743.528376132323,,,,
geo_2,2022-03-14,Sales,10697.30096423348,,,,
geo_2,2022-03-21,Sales,10759.146678957464,,,,
geo_2,2022-03-28,Sales,10589.430215278575,,,,
geo_2,2022-04-04,Sales,10954.315362902445,,,,
geo_2,2022-04-11,Sales,10803.457286680485,,,,
geo_2,2022-04-18,Sales,10997.861331213602,,,,
geo_2,2022-04-25,Sales,10691.5792357341,,,,
geo_2,2022-05-02,Sales,10620.673085275093,,,,
geo_2,2022-05-09,Sales,10805.530096182063,,,,
geo_2,2022-05-16,Sales,10740.19126083094,,,,
geo_2,2022-05-23,Sales,10740.889854854597,,,,
geo_2,2022-05-30,Sales,10706.830337736901,,,,
geo_2,2022-06-06,Sales,10827.511043154633,,,,
geo_2,2022-06-13,Sales,10812.665262911467,,,,
geo_2,2022-06-20,Sales,10625.692712519038,,,,
geo_2,2022-06-27,Sales,10582.723010171654,,,,
geo_2,2022-07-04,Sales,10500.09129680134,,,,
geo_2,2022-07-11,Sales,10724.634245203491,,,,
geo_2,2022-07-18,Sales,10458.043013952794,,,,
geo_2,2022-07-25,Sales,10419.92779412166,,,,
geo_2,2022-08-01,Sales,10665.51538064415,,,,
geo_2,2022-08-08,Sales,10361.03149818467,,,,
geo_2,2022-08-15,Sales,10682.41023640557,,,,
geo_2,2022-08-22,Sales,10472.550380778486,,,,
geo_2,2022-08-29,Sales,10702.697021155323,,,,
geo_2,2022-09-05,Sales,10604.482704578879,,,,
geo_2,2022-09-12,Sales,10463.251588981584,,,,
geo_2,2022-09-19,Sales,10322.23424568009,,,,
geo_2,2022-09-26,Sales,10320.151716879776,,,,
geo_2,2022-10-03,Sales,10292.175200871325,,,,
geo_2,2022-10-10,Sales,10398.117263710355,,,,
geo_2,2022-10-17,Sales,10734.692181578808,,,,
geo_2,2022-10-24,Sales,10505.281258942618,,,,
geo_2,2022-10-31,Sales,10475.398220057134,,,,
geo_2,2022-11-07,Sales,10526.338512518934,,,,
geo_2,2022-11-14,Sales,10515.70832129289,,,,
geo_2,2022-11-21,Sales,10388.582483203518,,,,
geo_2,2022-11-28,Sales,10477.515015535744,,,,
geo_2,2022-12-05,Sales,10717.717380337133,,,,
geo_2,2022-12-12,Sales,10574.424029589858,,,,
geo_2,2022-12-19,Sales,10785.14918616944,,,,
geo_2,2022-12-26,Sales,10638.974252937232,,,,
geo_2,2023-01-02,Sales,10799.471013435585,,,,
geo_2,2023-01-09,Sales,10943.235977228189,,,,
geo_2,2023-01-16,Sales,11003.706889261213,,,,
geo_2,2023-01-23,Sales,10655.224233895246,,,,
geo_2,2023-01-30,Sales,10817.825568374916,,,,
geo_2,2023-02-06,Sales,10747.19739338654,,,,
geo_2,2023-02-13,Sales,11007.5840422139,,,,
geo_2,2023-02-20,Sales,10731.910149931446,,,,
geo_2,2023-02-27,Sales,10630.716445425445,,,,
geo_2,2023-03-06,Sales,10875.730869507162,,,,
geo_2,2023-03-13,Sales,10765.462786807062,,,,
geo_2,2023-03-20,Sales,10745.361309236578,,,,
geo_2,2023-03-27,Sales,10980.611534904545,,,,
geo_2,2023-04-03,Sales,10648.20892566736,,,,
geo_2,2023-04-10,Sales,10918.718873213174,,,,
geo_2,2023-04-17,Sales,11136.936849025658,,,,
geo_2,2023-04-24,Sales,11119.101031953018,,,,
geo_2,2023-05-01,Sales,10990.203126615059,,,,
geo_2,2023-05-08,Sales,10912.814711593686,,,,
geo_2,2023-05-15,Sales,10821.342989088376,,,,
geo_2,2023-05-22,Sales,10979.661966745798,,,,
geo_2,2023-05-29,Sales,10678.088388094513,,,,
geo_2,2023-06-05,Sales,10570.444640035763,,,,
geo_2,2023-06-12,Sales,10918.817470618762,,,,
geo_2,2023-06-19,Sales,10702.079931121532,,,,
geo_2,2023-06-26,Sales,10618.149783539902,,,,
geo_2,2023-07-03,Sales,10867.837191755332,,,,
geo_2,2023-07-10,Sales,10758.762741626213,,,,
geo_2,2023-07-17,Sales,10755.729304607803,,,,
geo_2,2023-07-24,Sales,10586.457627131282,,,,
geo_2,2023-07-31,Sales,10520.259019043555,,,,
geo_2,2023-08-07,Sales,10566.33610177778,,,,
geo_2,2023-08-14,Sales,10640.872191458542,,,,
geo_2,2023-08-21,Sales,10796.320995895183,,,,
geo_2,2023-08-28,Sales,10777.977250361082,,,,
geo_2,2023-09-04,Sales,10753.20927945135,,,,
geo_2,2023-09-11,Sales,10581.786853856958,,,,
geo_2,2023-09-18,Sales,10435.78746738739,,,,
geo_2,2023-09-25,Sales,10809.44687215611,,,,
geo_2,2023-10-02,Sales,10577.053366098997,,,,
geo_2,2023-10-09,Sales,10586.624831905961,,,,
geo_2,2023-10-16,Sales,10602.42612646989,,,,
geo_2,2023-10-23,Sales,10492.342568920281,,,,
geo_2,2023-10-30,Sales,10746.280263148592,,,,
geo_2,2023-11-06,Sales,10731.571469366672,,,,
geo_2,2023-11-13,Sales,10694.83339892553,,,,
geo_2,2023-11-20,Sales,10339.507238798966,,,,
geo_2,2023-11-27,Sales,10566.89836032016,,,,
geo_2,2023-12-04,Sales,10580.815736815795,,,,
geo_2,2023-12-11,Sales,10484.334324537218,,,,
geo_2,2023-12-18,Sales,10616.475032014132,,,,
geo_2,2023-12-25,Sales,10556.16888130009,,,,
geo_2,2024-01-01,Sales,11072.681094665355,,,,
geo_2,2024-01-08,Sales,10844.583678627048,,,,
geo_2,2024-01-15,Sales,10948.091266163268,,,,
geo_2,2024-01-22,Sales,10867.628298290821,,,,
geo_2,2024-01-29,Sales,10883.211457582322,,,,
geo_2,2024-02-05,Sales,10892.621436651048,,,,
geo_2,2024-02-12,Sales,10884.29107504845,,,,
geo_2,2024-02-19,Sales,11258.34947979288,,,,
geo_2,2024-02-26,Sales,11111.844145625966,,,,
geo_2,2024-03-04,Sales,10966.49593984782,,,,
geo_2,2024-03-11,Sales,11114.925217358488,,,,
geo_2,2024-03-18,Sales,10956.257269720505,,,,
geo_2,2024-03-25,Sales,11154.963474399261,,,,
geo_2,2024-04-01,Sales,10863.892062674315,,,,
geo_2,2024-04-08,Sales,10665.024871616299,,,,
geo_2,2024-04-15,Sales,10965.029915183275,,,,
geo_2,2024-04-22,Sales,10973.095637698,,,,
geo_2,2024-04-29,Sales,11146.29707702803,,,,
geo_2,2024-05-06,Sales,10821.24548603567,,,,
geo_2,2024-05-13,Sales,11037.220441916374,,,,
geo_2,2024-05-20,Sales,10965.739547308052,,,,
geo_2,2024-05-27,Sales,10862.633766662519,,,,
geo_2,2024-06-03,Sales,11174.723374633058,,,,
geo_2,2024-06-10,Sales,11002.063124749679,,,,
geo_2,2024-06-17,Sales,11094.340767787116,,,,
geo_2,2024-06-24,Sales,10724.379083719814,,,,
geo_2,2024-07-01,Sales,10955.500771987812,,,,
geo_2,2024-07-08,Sales,10966.465170049065,,,,
geo_2,2024-07-15,Sales,11184.192295470304,,,,
geo_2,2024-07-22,Sales,11021.91433721208,,,,
geo_2,2024-07-29,Sales,10845.33646207051,,,,
geo_2,2024-08-05,Sales,10867.678885704801,,,,
geo_2,2024-08-12,Sales,10760.88516174309,,,,
geo_2,2024-08-19,Sales,10713.732330945293,,,,
geo_2,2024-08-26,Sales,10478.105844977581,,,,
geo_2,2024-09-02,Sales,10684.277693562173,,,,
geo_2,2024-09-09,Sales,10674.792203815867,,,,
geo_2,2024-09-16,Sales,10568.087720362071,,,,
geo_2,2024-09-23,Sales,10472.519432808765,,,,
geo_2,2024-09-30,Sales,10606.751667368477,,,,
geo_2,2024-10-07,Sales,10461.361834619878,,,,
geo_2,2024-10-14,Sales,10556.273173820235,,,,
geo_2,2024-10-21,Sales,10432.966470019719,,,,
geo_2,2024-10-28,Sales,10553.24525432825,,,,
geo_2,2024-11-04,Sales,10749.175642377792,,,,
geo_2,2024-11-11,Sales,10904.79702607157,,,,
geo_2,2024-11-18,Sales,10813.588301189477,,,,
geo_2,2024-11-25,Sales,10826.826576272162,,,,
geo_2,2024-12-02,Sales,10679.711244327349,,,,
geo_2,2024-12-09,Sales,10598.138009990647,,,,
geo_2,2024-12-16,Sales,10876.60480642767,,,,
geo_2,2024-12-23,Sales,10833.817599391627,,,,
geo_3,2022-01-03,Sales,10354.128324075004,,,,
geo_3,2022-01-10,Sales,10364.478233777121,,,,
geo_3,2022-01-17,Sales,10679.660761780897,,,,
geo_3,2022-01-24,Sales,10780.266662715765,,,,
geo_3,2022-01-31,Sales,10670.63423226858,,,,
geo_3,2022-02-07,Sales,10610.478183316738,,,,
geo_3,2022-02-14,Sales,10691.076355767753,,,,
geo_3,2022-02-21,Sales,10784.905417115599,,,,
geo_3,2022-02-28,Sales,10779.312401743664,,,,
geo_3,2022-03-07,Sales,10832.18178945613,,,,
geo_3,2022-03-14,Sales,10841.707997092079,,,,
geo_3,2022-03-21,Sales,10901.415799383882,,,,
geo_3,2022-03-28,Sales,10842.802136033077,,,,
geo_3,2022-04-04,Sales,11057.469794164788,,,,
geo_3,2022-04-11,Sales,11007.936398954516,,,,
geo_3,2022-04-18,Sales,10835.266438195138,,,,
geo_3,2022-04-25,Sales,10780.799392079432,,,,
geo_3,2022-05-02,Sales,10717.057315012613,,,,
geo_3,2022-05-09,Sales,10871.771029783295,,,,
geo_3,2022-05-16,Sales,10815.270940337863,,,,
geo_3,2022-05-23,Sales,10699.563200648581,,,,
geo_3,2022-05-30,Sales,10725.883082964556,,,,
geo_3,2022-06-06,Sales,10760.691372360197,,,,
geo_3,2022-06-13,Sales,10443.06373305261,,,,
geo_3,2022-06-20,Sales,10736.71121562317,,,,
geo_3,2022-06-27,Sales,10650.006617481873,,,,
geo_3,2022-07-04,Sales,10600.110251693133,,,,
geo_3,2022-07-11,Sales,10544.753048816963,,,,
geo_3,2022-07-18,Sales,10711.201397863115,,,,
